alpha,x_c,Cf_x_upper
11,0.9,0.000545
11,0.90526,0.000551
11,0.91048,0.000556
11,0.91567,0.00056
11,0.92082,0.000565
11,0.92595,0.000569
11,0.93104,0.000572
11,0.9361,0.000575
11,0.94112,0.000578
11,0.94611,0.00058
11,0.95107,0.000582
11,0.956,0.000582
11,0.9609,0.000581
11,0.96577,0.000575
11,0.9706,0.000569
11,0.9754,0.000547
11,0.98018,0.00052
11,0.98492,0.000446
11,0.98963,0.00028
11,0.99431,0.000182
11,0.99832,0.000247
12,0.0,0.001248
12,0.00025,-0.003252
12,0.00073,-0.008094
12,0.00141,-0.012781
12,0.00228,-0.016925
12,0.00334,-0.020667
12,0.00455,-0.023512
12,0.00591,-0.025515
12,0.0074,-0.026831
12,0.00901,-0.027469
12,0.01074,-0.027687
12,0.01256,-0.027639
12,0.01448,-0.027236
12,0.0165,-0.026489
12,0.01861,-0.025595
12,0.0208,-0.024622
12,0.02308,-0.023549
12,0.02545,-0.022356
12,0.0279,-0.021124
12,0.03043,-0.019907
12,0.03305,-0.018718
12,0.03575,-0.017568
12,0.03853,-0.016404
12,0.04139,-0.015298
12,0.04435,-0.014198
12,0.04738,-0.013118
12,0.05051,-0.012134
12,0.05372,-0.011243
12,0.05702,-0.010451
12,0.06041,-0.009767
12,0.0639,-0.009198
12,0.06747,-0.008743
12,0.07114,-0.008413
12,0.07491,-0.008188
12,0.07878,-0.008077
12,0.08275,-0.008028
12,0.08682,-0.008034
12,0.09099,-0.008085
12,0.09528,-0.00817
12,0.09967,-0.00827
12,0.10417,-0.008371
12,0.10878,-0.008467
12,0.11351,-0.008552
12,0.11836,-0.008624
12,0.12333,-0.008659
12,0.12842,-0.008671
12,0.13364,-0.008671
12,0.13898,-0.008658
12,0.14446,-0.008638
12,0.15007,-0.008605
12,0.15582,-0.008545
12,0.16171,-0.008469
12,0.16774,-0.008388
12,0.17391,-0.008307
12,0.18024,-0.008203
12,0.18672,-0.008076
12,0.19335,-0.007949
12,0.20015,-0.007821
12,0.2071,-0.007667
12,0.21423,-0.007496
12,0.22152,-0.007337
12,0.22899,-0.007156
12,0.23663,-0.006962
12,0.24446,-0.00678
12,0.25247,-0.006582
12,0.26067,-0.006386
12,0.26906,-0.006193
12,0.27765,-0.005978
12,0.28645,-0.005814
12,0.29545,-0.00551
12,0.30453,-0.005325
12,0.31356,-0.005197
12,0.32254,-0.004983
12,0.33146,-0.004766
12,0.34033,-0.004569
12,0.34914,-0.004359
12,0.3579,-0.00414
12,0.3666,-0.003937
12,0.37525,-0.003724
12,0.38385,-0.003509
12,0.39239,-0.003304
12,0.40088,-0.003093
